PrimaryColor,PrimaryBreed,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeType,AgeInMonths,DurationInShelter,BreedCategory,Pet_age_category,Binary_outcome,Sex,pet_id
TAN,GERMAN SHEPHERD DOG,OTHER,HEALTHY,FERTILE,EUTH,6.53,0.0,Mix,Young,Deny,Male,14864
BROWN,MASTIFF,NORMAL,HEALTHY,FERTILE,TRANSFER,7.6,-9.0,Mix,Young,Deny,Female,14865
GOLD,CHOW CHOW,AGED,TREATABLE/MANAGEABLE,FERTILE,EUTH,146.1,2.0,Mix,Senior,Deny,Female,14866
RED,ALASKAN MALAMUTE,NORMAL,HEALTHY,FERTILE,TRANSFER,9.13,6.0,Pure,Young,Deny,Female,14867
BLACK,LABRADOR RETRIEVER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,9.13,0.0,Two,Young,Deny,Male,14868
BROWN BRINDLE,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,EUTH,109.6,0.0,Pure,Senior,Deny,Female,14869
BLACK,ROTTWEILER,NORMAL,HEALTHY,ALTERED,EUTH,17.53,27.0,Pure,Young,Deny,Male,14870
TAN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,12.17,127.0,Two,Young,Take,Female,14871
WHITE,LHASA APSO,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,24.33,0.0,Pure,Adult,Deny,Male,14872
TAN,LABRADOR RETRIEVER,FEARFUL,HEALTHY,ALTERED,TRANSFER,24.37,28.0,Mix,Adult,Deny,Female,14873
TRICOLOR,YORKSHIRE TERRIER,AGED,TREATABLE/MANAGEABLE,ALTERED,ADOPTION,121.77,6.0,Pure,Senior,Take,Female,14874
WHITE,JACK RUSS TER,NORMAL,HEALTHY,FERTILE,EUTH,24.37,159.0,Pure,Adult,Deny,Male,14875
RED,BOXER,NORMAL,HEALTHY,FERTILE,EUTH,11.97,29.0,Mix,Young,Deny,Male,14876
GRAY,SCHNAUZER - STANDARD,FEARFUL,HEALTHY,ALTERED,TRANSFER,48.7,11.0,Pure,Adult,Deny,Male,14877
RED,BOXER,AGED,TREATABLE/MANAGEABLE,ALTERED,ADOPTION,121.73,192.0,Pure,Senior,Take,Female,14878
BLACK,SCHNAUZER - MINIATURE,NORMAL,HEALTHY,ALTERED,TRANSFER,48.7,0.0,Pure,Adult,Deny,Female,14879
BLACK,PIT BULL TERRIER,SICK,HEALTHY,FERTILE,EUTH,16.8,-86.0,Pure,Young,Deny,Male,14880
BLACK,LABRADOR RETRIEVER,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,133.93,0.0,Pure,Senior,Deny,Female,14881
BROWN,ENGLISH SHEPHERD,SICK,HEALTHY,ALTERED,EUTH,170.47,0.0,Mix,Senior,Deny,Male,14882
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,FOSTER,85.23,-139.0,Pure,Senior,Deny,Female,14883
RED,DACHSHUND,OTHER,HEALTHY,FERTILE,EUTH,121.77,2.0,Pure,Senior,Deny,Male,14884
CHOCOLATE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,21.43,-49.0,Pure,Young,Deny,Female,14885
WHITE,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,EUTH,36.53,22.0,Pure,Adult,Deny,Male,14886
CREAM,NORWICH TERRIER,NURSING,HEALTHY,UNKNOWN,TRANSFER,1.03,6.0,Mix,Baby,Deny,Male,14887
BLACK,PUG,NORMAL,HEALTHY,ALTERED,TRANSFER,85.23,2.0,Mix,Senior,Deny,Female,14888
BLACK,AMERICAN BULLDOG,NORMAL,HEALTHY,FERTILE,EUTH,24.37,-260.0,Pure,Adult,Deny,Male,14889
RED,BEAGLE,NORMAL,HEALTHY,FERTILE,TRANSFER,12.17,9.0,Mix,Young,Deny,Male,14890
BLACK,CHIHUAHUA - LONG HAIRED,EMACIATED,HEALTHY,ALTERED,ADOPTION,2.07,-256.0,Mix,Baby,Take,Male,14891
TAN,AMERICAN BULLDOG,NORMAL,HEALTHY,FERTILE,TRANSFER,0.1,91.0,Two,Baby,Deny,Male,14892
BLACK,FLAT-COATED RETRIEVER,NORMAL,HEALTHY,FERTILE,TRANSFER,12.2,7.0,Mix,Young,Deny,Male,14893
WHITE,JACK RUSS TER,NORMAL,HEALTHY,ALTERED,TRANSFER,36.53,0.0,Mix,Adult,Deny,Male,14894
TRICOLOR,PAPILLON,OTHER,HEALTHY,ALTERED,TRANSFER,146.1,33.0,Two,Senior,Deny,Female,14895
WHITE,AUSTRALIAN SHEPHERD,NORMAL,HEALTHY,FERTILE,EUTH,6.13,13.0,Two,Young,Deny,Female,14896
BLACK,BORDER COLLIE,NORMAL,HEALTHY,ALTERED,ADOPTION,142.1,226.0,Pure,Senior,Take,Male,14897
BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,24.37,30.0,Mix,Adult,Take,Male,14898
YELLOW,BRIARD,NORMAL,HEALTHY,FERTILE,TRANSFER,12.17,-9.0,Two,Young,Deny,Male,14899
SILVER,POODLE - MINIATURE,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,194.8,0.0,Pure,Senior,Deny,Female,14900
BLACK,AKITA,NORMAL,HEALTHY,FERTILE,TRANSFER,8.33,-153.0,Two,Young,Deny,Female,14901
BLUE MERLE,AUSTRALIAN SHEPHERD,FEARFUL,HEALTHY,FERTILE,EUTH,12.2,-334.0,Mix,Young,Deny,Female,14902
BLACK,PIT BULL TERRIER,SICK,HEALTHY,FERTILE,EUTH,0.57,1.0,Pure,Baby,Deny,Male,14903
WHITE,BEAGLE,NURSING,HEALTHY,FERTILE,DIED,0.03,-46.0,Mix,Baby,Deny,Female,14904
GOLD,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,36.53,35.0,Two,Adult,Deny,Male,14905
TRICOLOR,BEAGLE,NORMAL,HEALTHY,FERTILE,TRANSFER,36.53,-113.0,Pure,Adult,Deny,Male,14906
BROWN,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,24.33,0.0,Mix,Adult,Deny,Female,14907
TRICOLOR,AUSTRALIAN SHEPHERD,NORMAL,HEALTHY,FERTILE,EUTH,12.53,0.0,Two,Young,Deny,Female,14908
BROWN,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,24.33,184.0,Two,Adult,Deny,Female,14909
BROWN,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,TRANSFER,12.17,11.0,Mix,Young,Deny,Male,14910
BROWN,POMERANIAN,SICK,HEALTHY,ALTERED,EUTH,109.4,181.0,Two,Senior,Deny,Male,14911
BROWN,DOBERMAN PINSCHER,FEARFUL,HEALTHY,ALTERED,TRANSFER,24.33,-231.0,Pure,Adult,Deny,Female,14912
BLACK,GERMAN SHEPHERD DOG,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,6.13,0.0,Mix,Young,Deny,Female,14913
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.1,-13.0,Pure,Young,Deny,Male,14914
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,19.83,-229.0,Two,Young,Take,Female,14915
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,RELEASED,60.87,74.0,Pure,Adult,Deny,Female,14916
BROWN,CHIHUAHUA - SMOOTH COATED,AGED,TREATABLE/MANAGEABLE,FERTILE,TRANSFER,121.73,4.0,Pure,Senior,Deny,Female,14917
BROWN,BLOODHOUND,NORMAL,HEALTHY,ALTERED,EUTH,0.27,0.0,Mix,Baby,Deny,Female,14918
BROWN,CHIHUAHUA - SMOOTH COATED,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,141.9,0.0,Pure,Senior,Deny,Female,14919
TRICOLOR,BEAGLE,NORMAL,HEALTHY,FERTILE,TRANSFER,73.07,-231.0,Mix,Adult,Deny,Male,14920
BLACK,YORKSHIRE TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,4.03,2.0,Pure,Baby,Deny,Female,14921
WHITE,JACK RUSS TER,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,158.27,0.0,Pure,Senior,Deny,Male,14922
BUFF,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,0.23,0.0,Pure,Baby,Deny,Female,14923
BROWN,COCKER SPANIEL,NORMAL,HEALTHY,FERTILE,TRANSFER,24.37,5.0,Two,Adult,Deny,Female,14924
BROWN,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,64.03,72.0,Two,Adult,Take,Female,14925
TRICOLOR,TREEING WALKER COONHOUND,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,141.13,0.0,Two,Senior,Deny,Male,14926
WHITE,YORKSHIRE TERRIER,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,200.83,0.0,Pure,Senior,Deny,Female,14927
TAN,PUG,NORMAL,HEALTHY,ALTERED,ADOPTION,53.97,4.0,Two,Adult,Take,Male,14928
BLACK,CHOW CHOW,NURSING,HEALTHY,UNKNOWN,EUTH,-0.13,6.0,Mix,,Deny,Male,14929
WHITE,COCKER SPANIEL,SICK,HEALTHY,FERTILE,EUTH,12.17,-1.0,Pure,Young,Deny,Male,14930
TAN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,5.0,Mix,Young,Deny,Male,14931
YELLOW,LABRADOR RETRIEVER,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,143.63,0.0,Two,Senior,Deny,Male,14932
FAWN,PIT BULL TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,24.33,0.0,Pure,Adult,Deny,Male,14933
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,TRANSFER,2.03,125.0,Pure,Baby,Deny,Female,14934
RED,PUG,NORMAL,HEALTHY,ALTERED,ADOPTION,48.7,8.0,Two,Adult,Take,Female,14935
TRICOLOR,BORDER COLLIE,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,124.7,0.0,Pure,Senior,Deny,Male,14936
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,85.23,7.0,Pure,Senior,Deny,Female,14937
BLACK,PEKINGESE,OTHER,HEALTHY,FERTILE,TRANSFER,85.23,6.0,Pure,Senior,Deny,Female,14938
WHITE,POODLE - MINIATURE,DEAD,HEALTHY,ALTERED,DISPOSAL,106.47,0.0,Pure,Senior,Deny,Female,14939
TAN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,TRANSFER,-0.3,7.0,Mix,,Deny,Male,14940
FAWN,VIZSLA,NORMAL,HEALTHY,ALTERED,ADOPTION,15.27,6.0,Mix,Young,Take,Male,14941
TAN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,36.53,7.0,Pure,Adult,Deny,Female,14942
TAN,BEAGLE,NORMAL,HEALTHY,FERTILE,TRANSFER,4.07,1.0,Mix,Baby,Deny,Female,14943
BLACK,COCKER SPANIEL,NORMAL,HEALTHY,ALTERED,ADOPTION,36.5,29.0,Two,Adult,Take,Male,14944
BLACK,ROTTWEILER,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,158.27,0.0,Pure,Senior,Deny,Female,14945
RED,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,20.27,-244.0,Pure,Young,Take,Female,14946
BROWN BRINDLE,PIT BULL TERRIER,SICK,HEALTHY,FERTILE,EUTH,12.07,0.0,Mix,Young,Deny,Female,14947
BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,58.83,646.0,Pure,Adult,Take,Female,14948
WHITE,GREAT PYRENEES,NORMAL,HEALTHY,ALTERED,ADOPTION,39.6,-10.0,Pure,Adult,Take,Male,14949
WHITE,PUG,NORMAL,HEALTHY,FERTILE,TRANSFER,-2.63,0.0,Mix,,Deny,Male,14950
RED,POMERANIAN,AGED,TREATABLE/MANAGEABLE,FERTILE,EUTH,121.77,-46.0,Pure,Senior,Deny,Female,14951
BROWN,DACHSHUND,NORMAL,HEALTHY,FERTILE,EUTH,5.1,-112.0,Pure,Baby,Deny,Male,14952
YELLOW,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,5.1,1.0,Mix,Baby,Deny,Male,14953
BROWN,COLLIE - SMOOTH,NORMAL,HEALTHY,FERTILE,EUTH,48.7,4.0,Mix,Adult,Deny,Female,14954
CHOCOLATE,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,3.07,13.0,Pure,Baby,Take,Male,14955
WHITE,JACK RUSS TER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,109.57,0.0,Mix,Senior,Deny,Male,14956
TAN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,7.07,-202.0,Pure,Young,Deny,Male,14957
BROWN BRINDLE,BOXER,NORMAL,HEALTHY,ALTERED,TRANSPORT,85.23,112.0,Mix,Senior,Deny,Female,14958
BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,14.83,67.0,Pure,Young,Take,Male,14959
BROWN,CHINESE SHARPEI,NORMAL,HEALTHY,ALTERED,TRANSFER,35.57,5.0,Pure,Adult,Deny,Male,14960
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,13.8,-142.0,Mix,Young,Deny,Male,14961
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,10.2,20.0,Mix,Young,Deny,Female,14962
BLUE MERLE,AUSTRALIAN CATTLE DOG,NORMAL,HEALTHY,ALTERED,TRANSPORT,48.7,-164.0,Two,Adult,Deny,Female,14963
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,0.1,-108.0,Two,Baby,Deny,Female,14964
BROWN,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,8.0,157.0,Mix,Young,Deny,Male,14965
BLACK BRINDLE,FRENCH BULLDOG,NORMAL,HEALTHY,ALTERED,TRANSFER,24.33,13.0,Two,Adult,Deny,Male,14966
BROWN,BOXER,NORMAL,HEALTHY,ALTERED,ADOPTION,36.53,85.0,Two,Adult,Take,Male,14967
RED TICKED,AMERICAN FOXHOUND,NORMAL,HEALTHY,FERTILE,EUTH,31.07,-73.0,Two,Adult,Deny,Female,14968
BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,MISSING,5.93,209.0,Two,Baby,Deny,Male,14969
TAN,SIBERIAN HUSKY,NORMAL,HEALTHY,FERTILE,EUTH,12.2,2.0,Mix,Young,Deny,Male,14970
BROWN,COLLIE - SMOOTH,NORMAL,HEALTHY,ALTERED,TRANSFER,42.57,-145.0,Mix,Adult,Deny,Male,14971
BLACK,LABRADOR RETRIEVER,FEARFUL,HEALTHY,ALTERED,EUTH,24.37,-12.0,Mix,Adult,Deny,Male,14972
YELLOW,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,-3.3,131.0,Two,,Deny,Female,14973
BLACK,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,0.07,200.0,Two,Baby,Take,Male,14974
TAN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,52.17,0.0,Two,Adult,Take,Male,14975
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,0.0,Pure,Young,Deny,Female,14976
TAN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,ADOPTION,12.0,304.0,Mix,Young,Take,Female,14977
TAN,CHIHUAHUA - LONG HAIRED,NORMAL,HEALTHY,ALTERED,TRANSFER,48.7,0.0,Two,Adult,Deny,Male,14978
WHITE,AKITA,OTHER,HEALTHY,FERTILE,EUTH,170.43,0.0,Mix,Senior,Deny,Female,14979
BROWN BRINDLE,BOSTON TERRIER,NORMAL,HEALTHY,ALTERED,TRANSFER,12.17,249.0,Two,Young,Deny,Female,14980
BLACK,BORDER COLLIE,NORMAL,HEALTHY,ALTERED,RELEASED,48.8,0.0,Mix,Adult,Deny,Male,14981
BROWN,BASSET HOUND,OTHER,HEALTHY,ALTERED,EUTH,60.87,0.0,Pure,Adult,Deny,Male,14982
GOLD,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,48.7,6.0,Pure,Adult,Deny,Male,14983
