PrimaryColor,PrimaryBreed,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeType,AgeInMonths,DurationInShelter,BreedCategory,Pet_age_category,Binary_outcome,Sex,pet_id
BLONDE,POMERANIAN,SICK,HEALTHY,ALTERED,EUTH,191.83,0.0,Two,Senior,Deny,Female,15005
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,8.73,21.0,Mix,Young,Take,Male,15006
WHITE,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,12.17,71.0,Pure,Young,Deny,Male,15007
BLUE,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,24.33,-185.0,Pure,Adult,Deny,Male,15008
BLACK,MANCHESTER TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,32.0,Two,Young,Deny,Female,15009
BROWN BRINDLE,PIT BULL TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,24.33,0.0,Pure,Adult,Deny,Female,15010
BROWN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,109.57,0.0,Mix,Senior,Deny,Female,15011
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,12.03,75.0,Mix,Young,Deny,Male,15012
WHITE,PIT BULL TERRIER,SICK,HEALTHY,ALTERED,EUTH,47.1,0.0,Pure,Adult,Deny,Male,15013
TAN,PIT BULL TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,85.2,0.0,Pure,Senior,Deny,Female,15014
CHOCOLATE,MINIATURE PINSCHER,NORMAL,HEALTHY,FERTILE,TRANSPORT,-2.23,241.0,Mix,,Deny,Female,15015
BROWN,COLLIE - SMOOTH,SICK,HEALTHY,ALTERED,EUTH,156.5,0.0,Mix,Senior,Deny,Female,15016
BROWN,BEAGLE,NORMAL,HEALTHY,ALTERED,EUTH,67.2,-51.0,Mix,Adult,Deny,Female,15017
WHITE,JACK RUSS TER,DEAD,HEALTHY,FERTILE,DISPOSAL,0.27,0.0,Pure,Baby,Deny,Male,15018
BROWN,GERMAN SHEPHERD DOG,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,18.9,224.0,Pure,Young,Deny,Male,15019
BLACK,ROTTWEILER,SICK,HEALTHY,ALTERED,EUTH,93.0,0.0,Pure,Senior,Deny,Female,15020
BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,29.43,9.0,Pure,Adult,Take,Female,15021
RED,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,EUTH,45.1,0.0,Two,Adult,Deny,Male,15022
WHITE,BEAGLE,OTHER,HEALTHY,ALTERED,TRANSFER,12.17,7.0,Two,Young,Deny,Male,15023
GRAY,PIT BULL TERRIER,DEAD,HEALTHY,FERTILE,DISPOSAL,9.03,0.0,Pure,Young,Deny,Male,15024
TAN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,TRANSFER,3.43,122.0,Mix,Baby,Deny,Female,15025
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,34.83,-69.0,Pure,Adult,Take,Male,15026
BROWN,PIT BULL TERRIER,DEAD,HEALTHY,FERTILE,DIED,24.37,0.0,Pure,Adult,Deny,Male,15027
BROWN BRINDLE,MASTIFF,NORMAL,HEALTHY,FERTILE,TRANSFER,24.33,13.0,Pure,Adult,Deny,Male,15028
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,40.03,-14.0,Pure,Adult,Take,Male,15029
WHITE,BASSET HOUND,NORMAL,HEALTHY,ALTERED,ADOPTION,7.07,-84.0,Pure,Young,Take,Female,15030
APRICOT,COCKER SPANIEL,NORMAL,HEALTHY,FERTILE,TRANSFER,36.53,131.0,Pure,Adult,Deny,Male,15031
BLACK,LABRADOR RETRIEVER,DEAD,HEALTHY,ALTERED,DISPOSAL,121.73,0.0,Pure,Senior,Deny,Male,15032
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,4.03,1.0,Pure,Baby,Deny,Male,15033
BLACK,COLLIE - SMOOTH,NORMAL,HEALTHY,FERTILE,EUTH,2.0,0.0,Mix,Baby,Deny,Female,15034
BLACK,ROTTWEILER,DEAD,HEALTHY,FERTILE,DISPOSAL,24.57,0.0,Pure,Adult,Deny,Male,15035
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,EUTH,9.83,4.0,Two,Young,Deny,Male,15036
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,6.13,89.0,Mix,Young,Deny,Male,15037
BROWN BRINDLE,BOXER,NORMAL,HEALTHY,ALTERED,RELEASED,0.33,5.0,Pure,Baby,Deny,Male,15038
WHITE,POODLE - STANDARD,FEARFUL,HEALTHY,ALTERED,EUTH,24.13,0.0,Mix,Adult,Deny,Male,15039
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,15.23,45.0,Mix,Young,Deny,Male,15040
BROWN BRINDLE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,36.53,11.0,Mix,Adult,Deny,Male,15041
TRICOLOR,BASSET HOUND,NORMAL,HEALTHY,FERTILE,EUTH,24.37,8.0,Pure,Adult,Deny,Female,15042
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.03,92.0,Mix,Young,Deny,Female,15043
BLACK BRINDLE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,6.63,12.0,Pure,Young,Deny,Female,15044
YELLOW,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,14.87,195.0,Mix,Young,Deny,Male,15045
YELLOW,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,TRANSFER,10.2,3.0,Pure,Young,Deny,Female,15046
BROWN,BOXER,NORMAL,HEALTHY,FERTILE,TRANSFER,40.23,47.0,Pure,Adult,Deny,Male,15047
TRICOLOR,BEAGLE,DEAD,HEALTHY,ALTERED,DISPOSAL,161.3,75.0,Mix,Senior,Deny,Female,15048
WHITE,SHETLAND SHEEPDOG,DEAD,HEALTHY,FERTILE,EUTH,0.1,123.0,Mix,Baby,Deny,Female,15049
TRICOLOR,BEAGLE,FEARFUL,HEALTHY,FERTILE,EUTH,36.5,0.0,Pure,Adult,Deny,Female,15050
RED,ROTTWEILER,AGED,TREATABLE/MANAGEABLE,FERTILE,EUTH,170.47,0.0,Mix,Senior,Deny,Male,15051
GOLD,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,22.5,-229.0,Pure,Young,Take,Female,15052
BLACK,BOXER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,32.87,0.0,Pure,Adult,Deny,Female,15053
BLACK,PIT BULL TERRIER,PARVO,HEALTHY,FERTILE,EUTH,4.07,0.0,Pure,Baby,Deny,Male,15054
BROWN,GERMAN SHEPHERD DOG,SICK,HEALTHY,FERTILE,EUTH,1.53,-1.0,Pure,Baby,Deny,Male,15055
BROWN BRINDLE,PLOTT HOUND,NORMAL,HEALTHY,FERTILE,EUTH,12.17,103.0,Two,Young,Deny,Male,15056
BLACK,COCKER SPANIEL,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,97.4,0.0,Mix,Senior,Deny,Male,15057
BLACK,MIX,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,170.03,0.0,Pure,Senior,Deny,Female,15058
GOLD,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,RELEASED,7.9,0.0,Two,Young,Deny,Female,15059
APRICOT,SIBERIAN HUSKY,NORMAL,HEALTHY,FERTILE,TRANSFER,8.6,-153.0,Mix,Young,Deny,Female,15060
BLACK,POMERANIAN,SICK,HEALTHY,FERTILE,FOSTER,116.1,149.0,Mix,Senior,Deny,Female,15061
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,TRANSFER,6.07,29.0,Mix,Young,Deny,Male,15062
WHITE,PIT BULL TERRIER,EMACIATED,HEALTHY,FERTILE,EUTH,24.33,12.0,Two,Adult,Deny,Female,15063
BLACK,LABRADOR RETRIEVER,SICK,HEALTHY,FERTILE,EUTH,12.2,0.0,Pure,Young,Deny,Male,15064
BLACK,BORDER COLLIE,NORMAL,HEALTHY,ALTERED,ADOPTION,8.13,41.0,Mix,Young,Take,Female,15065
YELLOW,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,12.2,3.0,Pure,Young,Deny,Male,15066
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,TRANSFER,97.07,3.0,Two,Senior,Deny,Male,15067
BUFF,PIT BULL TERRIER,OTHER,HEALTHY,FERTILE,EUTH,2.37,-44.0,Pure,Baby,Deny,Female,15068
WHITE,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,3.4,-22.0,Pure,Baby,Take,Female,15069
GRAY,SCHNAUZER - MINIATURE,INJURED,HEALTHY,ALTERED,TRANSFER,64.83,61.0,Mix,Adult,Deny,Female,15070
BLACK,LABRADOR RETRIEVER,NORMAL,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,15.2,0.0,Two,Young,Deny,Female,15071
BUFF,GERMAN SHEPHERD DOG,OBESE,HEALTHY,ALTERED,EUTH,109.6,-229.0,Two,Senior,Deny,Female,15072
GRAY,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,-194.0,Pure,Young,Deny,Male,15073
BLUE,CANE CORSO,NURSING,HEALTHY,FERTILE,TRANSFER,3.0,0.0,Two,Baby,Deny,Female,15074
RED,SIBERIAN HUSKY,NORMAL,HEALTHY,FERTILE,TRANSFER,47.73,74.0,Pure,Adult,Deny,Female,15075
BLACK,BOSTON TERRIER,INJURED,HEALTHY,FERTILE,EUTH,48.7,0.0,Pure,Adult,Deny,Female,15076
WHITE,SAMOYED,NORMAL,HEALTHY,ALTERED,ADOPTION,64.23,-80.0,Two,Adult,Take,Male,15077
BLACK BRINDLE,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,24.37,-79.0,Pure,Adult,Deny,Female,15078
BROWN,JACK RUSS TER,NORMAL,HEALTHY,FERTILE,EUTH,24.37,0.0,Two,Adult,Deny,Male,15079
WHITE,JACK RUSS TER,NORMAL,HEALTHY,ALTERED,ADOPTION,24.37,5.0,Pure,Adult,Take,Male,15080
BROWN,BOXER,SICK,HEALTHY,ALTERED,EUTH,1.07,0.0,Mix,Baby,Deny,Male,15081
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,ADOPTION,23.63,222.0,Mix,Young,Take,Male,15082
RED,POMERANIAN,NORMAL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,97.4,0.0,Pure,Senior,Deny,Male,15083
BLACK,PIT BULL TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,73.03,0.0,Pure,Adult,Deny,Female,15084
BLACK BRINDLE,BOXER,FEARFUL,HEALTHY,ALTERED,TRANSFER,24.37,-76.0,Pure,Adult,Deny,Female,15085
BLUE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,11.13,5.0,Pure,Young,Deny,Female,15086
BROWN,JACK RUSS TER,NORMAL,HEALTHY,ALTERED,TRANSFER,58.27,-284.0,Pure,Adult,Deny,Male,15087
BROWN BRINDLE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,11.93,274.0,Pure,Young,Deny,Female,15088
TAN,CHIHUAHUA - SMOOTH COATED,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,202.5,0.0,Two,Senior,Deny,Female,15089
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,TRANSPORT,48.3,-252.0,Pure,Adult,Deny,Male,15090
BROWN BRINDLE,PIT BULL TERRIER,NURSING,HEALTHY,ALTERED,ADOPTION,6.53,64.0,Two,Young,Take,Male,15091
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,18.2,29.0,Pure,Young,Deny,Male,15092
TRICOLOR,BEAGLE,NORMAL,HEALTHY,FERTILE,EUTH,121.77,30.0,Pure,Senior,Deny,Male,15093
TAN,BOXER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,12.2,0.0,Two,Young,Deny,Male,15094
WHITE,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,FERTILE,TRANSFER,60.87,31.0,Pure,Adult,Deny,Male,15095
BLUE MERLE,AUSTRALIAN CATTLE DOG,NORMAL,HEALTHY,ALTERED,TRANSFER,36.53,1.0,Two,Adult,Deny,Male,15096
BROWN BRINDLE,BOXER,DEAD,HEALTHY,FERTILE,DISPOSAL,36.5,0.0,Mix,Adult,Deny,Female,15097
BROWN,CATAHOULA LEOPARD HOUND,NORMAL,HEALTHY,FERTILE,TRANSFER,6.07,1.0,Pure,Young,Deny,Male,15098
RED,BOXER,INJURED,HEALTHY,FERTILE,TRANSFER,0.1,-224.0,Mix,Baby,Deny,Female,15099
BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,1.3,4.0,Pure,Baby,Take,Female,15100
CHOCOLATE,PIT BULL TERRIER,NORMAL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,60.87,0.0,Pure,Adult,Deny,Male,15101
BUFF,BOXER,NORMAL,HEALTHY,FERTILE,EUTH,0.1,0.0,Pure,Baby,Deny,Female,15102
BLACK,LABRADOR RETRIEVER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,24.33,15.0,Mix,Adult,Deny,Female,15103
WHITE,POMERANIAN,NORMAL,HEALTHY,ALTERED,ADOPTION,5.47,91.0,Pure,Baby,Take,Female,15104
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,0.07,0.0,Pure,Baby,Deny,Male,15105
BROWN,BOXER,NORMAL,HEALTHY,FERTILE,TRANSFER,7.1,24.0,Two,Young,Deny,Male,15106
BLACK,GERMAN SHEPHERD DOG,DEAD,HEALTHY,ALTERED,DISPOSAL,151.2,0.0,Two,Senior,Deny,Female,15107
TRICOLOR,BEAGLE,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,133.93,0.0,Mix,Senior,Deny,Female,15108
BROWN,SIBERIAN HUSKY,NORMAL,HEALTHY,FERTILE,EUTH,36.53,9.0,Mix,Adult,Deny,Male,15109
TRICOLOR,BEAGLE,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,113.53,0.0,Pure,Senior,Deny,Female,15110
TAN,KEESHOND,DEAD,HEALTHY,FERTILE,DISPOSAL,133.93,0.0,Pure,Senior,Deny,Female,15111
