Name,Breed,Color,Sex,Size,DateOfBirth,IntakeDate,OutcomeDate,DaysinShelter,IntakeType,OutcomeType
CLARABELLE-BELLA,CHIHUAHUA SH,WHITE/BLACK,Spayed,SMALL,,1/11/2019,5/11/2019,4,CONFISCATE,RETURN TO OWNER
,PIT BULL,BR BRINDLE/WHITE,Male,LARGE,,4/11/2019,5/11/2019,1,STRAY,RETURN TO OWNER
PUPPINS,CHIHUAHUA SH,TAN/WHITE,Female,SMALL,09/21/2009,2/11/2019,5/11/2019,3,STRAY,EUTHANIZE
*DEREK,GERM SHEPHERD/MIX,BLACK/BROWN,Neutered,LARGE,,09/27/2019,6/11/2019,40,STRAY,TRANSFER
LOLA,AMER BULLDOG,BLUE/TAN,Female,MED,,1/11/2019,6/11/2019,5,QUARANTINE,RETURN TO OWNER
CASH,GERM SHEPHERD,BLACK/TAN,Male,LARGE,03/25/2018,10/30/2019,6/11/2019,7,STRAY,RETURN TO OWNER
LUZ,GERM SHEPHERD,BLACK/TAN,Female,MED,07/25/2015,10/30/2019,6/11/2019,7,STRAY,RETURN TO OWNER
TRITON,PIT BULL,BLUE/WHITE,Neutered,LARGE,,01/13/2020,1/2/2020,19,STRAY,RETURN TO OWNER
KONA,CHIHUAHUA SH,TAN,Spayed,SMALL,02/27/2016,02/19/2020,6/3/2020,16,STRAY,ADOPTION
*BIRCH,PIT BULL,GRAY/WHITE,Neutered,MED,8/1/2018,12/22/2019,1/2/2020,41,STRAY,EUTHANIZE
,SIBERIAN HUSKY,WHITE,Female,MED,,6/11/2019,6/11/2019,0,STRAY,RETURN TO OWNER
CHOP,MASTIFF,FAWN,Male,LARGE,,08/18/2017,08/19/2017,1,STRAY,RETURN TO OWNER
ROCCO,PIT BULL,WHITE/BLACK,Neutered,LARGE,03/25/2018,03/25/2020,03/27/2020,2,STRAY,RETURN TO OWNER
,CHIHUAHUA SH/MIX,TAN/WHITE,Male,SMALL,,5/11/2019,6/11/2019,1,STRAY,EUTHANIZE
TEDDY,GERM SHEPHERD,BLACK,Neutered,LARGE,1/5/2016,01/24/2020,1/2/2020,8,OWNER SURRENDER,ADOPTION
ARI,PIT BULL,BR BRINDLE/WHITE,Spayed,MED,02/19/2013,6/11/2019,6/11/2019,0,STRAY,RETURN TO OWNER
*FRECKLES,PIT BULL,BROWN/WHITE,Spayed,MED,07/13/2016,12/24/2019,1/2/2020,39,TRANSFER,ADOPTION
CHIQUITA,CHIHUAHUA SH,BROWN,Spayed,TOY,12/20/2010,01/17/2017,01/17/2017,0,STRAY,RETURN TO OWNER
MEATBALL,FRENCH BULLDOG,FAWN,Male,SMALL,6/11/2015,4/11/2019,6/11/2019,2,STRAY,RETURN TO OWNER
OCTAVIA,GERM SHEPHERD,BLACK/TAN,Female,MED,07/29/2019,01/24/2020,01/25/2020,1,STRAY,RETURN TO OWNER
SAL,MASTIFF,FAWN,Male,LARGE,,08/18/2017,08/19/2017,1,STRAY,RETURN TO OWNER
BUDDY,BEAGLE/MIX,BLACK/WHITE,Neutered,MED,12/21/2006,12/21/2019,12/21/2019,0,STRAY,RETURN TO OWNER
*BOLT,ALASKAN HUSKY/PIT BULL,WHITE,Neutered,LARGE,06/13/2017,11/26/2019,12/21/2019,25,STRAY,ADOPTION
BENNY,PIT BULL/MIX,TAN/WHITE,Male,PUPPY,10/13/2019,12/13/2019,12/21/2019,8,OWNER SURRENDER,TRANSFER
*HAROLD,SIBERIAN HUSKY/GERM SHEPHERD,TRICOLOR,Neutered,PUPPY,09/26/2019,11/12/2019,12/21/2019,10,OWNER SURRENDER,ADOPTION
D.O.G.,PIT BULL/CHINESE SHARPEI,BLACK/WHITE,Male,PUPPY,10/13/2019,12/13/2019,12/21/2019,8,OWNER SURRENDER,TRANSFER
,SIBERIAN HUSKY/MIX,BLACK/BROWN,Female,MED,,5/12/2019,12/21/2019,16,STRAY,TRANSFER
JORDAN,TIBETAN TERR/MIX,BLACK/WHITE,Neutered,SMALL,12/19/2009,12/19/2019,12/21/2019,2,STRAY,RTOS
*COURAGE,CHIHUAHUA SH/MIX,BLACK/TAN,Male,SMALL,11/16/2016,10/29/2019,12/21/2019,53,STRAY,TRANSFER
,PIT BULL/MIX,BLACK,Male,MED,,9/12/2019,12/21/2019,12,STRAY,TRANSFER
*BETSY,CHIHUAHUA SH/MIX,TAN,Spayed,SMALL,10/23/2019,7/11/2019,12/21/2019,44,OWNER SURRENDER,ADOPTION
*ITSY,CHIHUAHUA SH/MIX,BLACK,Spayed,SMALL,10/23/2019,7/11/2019,12/21/2019,44,OWNER SURRENDER,ADOPTION
BUCK,PIT BULL,BLACK,Neutered,MED,12/8/2015,07/19/2017,08/16/2017,28,STRAY,ADOPTION
LEO,DOBERMAN PINSCH,BLACK/TAN,Neutered,LARGE,3/10/2012,3/9/2014,11/15/2014,73,STRAY,ADOPTION
BUSTER,RAT TERRIER,BLUE/TAN,Neutered,PUPPY,1/5/2016,1/7/2016,8/7/2016,7,OWNER SURRENDER,ADOPTION
KARMA,PARSON RUSS TER,WHITE,Female,SMALL,,05/23/2018,05/25/2018,2,STRAY,RETURN TO OWNER
ANGIE,GOLDEN RETR,GOLD,Spayed,LARGE,3/12/2012,11/26/2019,11/12/2019,15,STRAY,TRANSFER
ANGIE,GOLDEN RETR,GOLD,Spayed,LARGE,3/12/2012,2/5/2016,3/5/2016,1,STRAY,RETURN TO OWNER
CHEWY,PIT BULL/MIX,BLACK,Male,MED,,01/25/2020,01/28/2020,3,STRAY,RETURN TO OWNER
LOZON RENEE,PUG,FAWN,Neutered,,1/1/2005,04/26/2014,1/5/2014,5,STRAY,RETURN TO OWNER
CHAPO,PIT BULL,RED,Neutered,LARGE,,01/28/2020,01/28/2020,0,STRAY,RETURN TO OWNER
NINER,BOXER,BROWN/WHITE,Neutered,MED,,2/2/2020,2/2/2020,0,STRAY,RETURN TO OWNER
KARMA,PARSON RUSS TER,WHITE,Female,SMALL,,01/23/2020,01/28/2020,5,STRAY,RETURN TO OWNER
MITSI,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,12/15/2009,10/27/2017,12/16/2017,50,STRAY,TRANSFER
HAROLD,AUST CATTLE DOG/MIX,BROWN/WHITE,Male,MED,,01/26/2020,01/28/2020,2,CONFISCATE,RETURN TO OWNER
AWESOME,PIT BULL,RED/WHITE,Male,MED,11/1/2016,11/1/2020,01/28/2020,17,STRAY,RETURN TO OWNER
JONES,AUST CATTLE DOG,BLUE,Male,MED,10/2/2015,10/2/2017,10/2/2017,0,STRAY,RETURN TO OWNER
LAYLA,SIBERIAN HUSKY,BLACK/WHITE,Female,MED,03/29/2014,03/26/2016,03/29/2016,3,STRAY,RETURN TO OWNER
OCEAN,BOXER,WHITE,Female,MED,,12/22/2019,12/22/2019,0,STRAY,RETURN TO OWNER
DUKE,GREAT PYRENEES,WHITE,Neutered,LARGE,12/25/2011,01/28/2020,01/28/2020,0,STRAY,RETURN TO OWNER
MITSI,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,12/15/2009,01/24/2020,01/28/2020,4,CONFISCATE,RETURN TO OWNER
RYDER,GERM SHEPHERD,FAWN,Neutered,MED,05/24/2016,10/24/2017,10/25/2017,1,STRAY,RETURN TO OWNER
BROWNIE,CHIHUAHUA SH,BROWN/WHITE,Neutered,SMALL,7/11/2013,12/11/2015,2/1/2016,51,STRAY,ADOPTION
LITTLE BERT,CHIHUAHUA SH/MIX,BROWN/WHITE,Neutered,SMALL,09/16/2014,09/16/2016,7/10/2016,21,STRAY,ADOPTION
ANGIE,GOLDEN RETR,GOLD,Spayed,LARGE,3/12/2012,08/13/2018,08/16/2018,3,STRAY,RETURN TO OWNER
ANGIE,GOLDEN RETR,GOLD,Spayed,LARGE,3/12/2012,2/3/2017,3/3/2017,1,STRAY,RETURN TO OWNER
STANLEY,PARSON RUSS TER/MIX,BROWN/WHITE,Neutered,PUPPY,03/26/2019,06/26/2019,6/7/2019,10,STRAY,ADOPTION
BULLY,PIT BULL,BLACK/WHITE,Neutered,MED,02/24/2011,01/21/2020,01/28/2020,7,STRAY,RETURN TO OWNER
BERKLEY,GERM SHEPHERD/MIX,BROWN/TAN,Neutered,MED,05/24/2016,10/24/2017,10/25/2017,1,STRAY,RETURN TO OWNER
INDY,GERM SHEPHERD/MIX,BROWN/BLACK,Neutered,LARGE,,6/11/2019,7/11/2019,1,CONFISCATE,RETURN TO OWNER
CHUY,BELG MALINOIS/MIX,BROWN/BLACK,Neutered,LARGE,1/1/2018,7/11/2019,7/11/2019,0,STRAY,RETURN TO OWNER
LUKE,ROTTWEILER,BLACK/BROWN,Neutered,MED,10/2/2011,10/2/2017,10/2/2017,0,STRAY,RETURN TO OWNER
,LABRADOR RETR/PIT BULL,BLACK/WHITE,Male,MED,3/3/2019,3/3/2020,03/28/2020,25,STRAY,EUTHANIZE
UNO,CHIHUAHUA SH,WHITE,Neutered,TOY,1/3/2012,08/29/2015,3/9/2015,5,CONFISCATE,RETURN TO OWNER
*FRECKLES,PIT BULL,BROWN/WHITE,Spayed,MED,07/13/2016,07/13/2019,5/8/2019,23,STRAY,TRANSFER
RUDY,CHOW CHOW/MIX,BROWN,Neutered,MED,1/9/2003,08/29/2015,3/9/2015,5,CONFISCATE,RETURN TO OWNER
JULIA,BEAGLE/FOX TERR WIRE,WHITE/BLACK,Female,MED,11/30/2014,08/29/2015,4/9/2015,6,CONFISCATE,RETURN TO OWNER
KAMILA,CHIHUAHUA SH,WHITE/TAN,Spayed,TOY,08/14/2013,12/23/2019,12/24/2019,1,STRAY,RETURN TO OWNER
MARGUERITE,CHIHUAHUA SH,WHITE/BROWN,Spayed,TOY,1/9/2003,08/29/2015,3/9/2015,5,CONFISCATE,RETURN TO OWNER
DULCE,PARSON RUSS TER,BROWN,Neutered,SMALL,1/9/2000,08/29/2015,3/9/2015,5,CONFISCATE,RETURN TO OWNER
BUBBA,ST BERNARD RGH,WHITE/BROWN,Male,MED,01/29/2016,01/29/2020,01/29/2020,0,STRAY,RETURN TO OWNER
*BITSY,CHIHUAHUA SH/MIX,BLACK,Spayed,SMALL,10/23/2019,7/11/2019,12/24/2019,47,OWNER SURRENDER,TRANSFER
PINKY,CHIHUAHUA SH,BROWN,Spayed,TOY,1/9/2005,08/29/2015,3/9/2015,5,CONFISCATE,RETURN TO OWNER
BRADLEY,ANATOL SHEPHERD/MIX,WHITE/BLACK,Neutered,LARGE,1/9/2013,08/29/2015,4/9/2015,6,CONFISCATE,RETURN TO OWNER
ZEKE,AMER FOXHOUND/MIX,WHITE/BLACK,Neutered,MED,1/9/2000,08/29/2015,3/9/2015,5,CONFISCATE,RETURN TO OWNER
